name,url
Binance Announcements,https://www.binance.com/en/support/announcement
Coinbase Blog,https://blog.coinbase.com/feed
Kraken Blog,https://blog.kraken.com/feed
OKX Learn/Blog,https://www.okx.com/learn/feed
KuCoin Blog,https://www.kucoin.com/blog/rss
Bybit Blog,https://blog.bybit.com/feed/
Bitstamp Blog,https://blog.bitstamp.net/rss/
SEC Press Releases,https://www.sec.gov/news/pressreleases.rss
CFTC Press Releases,https://www.cftc.gov/PressRoom/PressReleases/rss
